P. Name,P. Name Kepler,P. Zone Class,P. Composition Class,P. Mass (EU),P. Radius (EU),P. Gravity (EU),P. Ts Mean (K),P. Period (days),P. Mean Distance (AU),S. Name,S. Constellation,S. Mass (SU),S. Radius (SU),P. Habitable,P. Disc. Year,Norm Distance
KOI-471.02,Kepler-163 b,Hot,rocky-iron,1.02,1.05,0.93,903.6,7.81,0.08,KOI-471,Cyg,1.00,0.90,0,2015,0.08080808
KOI-474.02,Kepler-164 d,Hot,rocky-iron,24.97,2.46,4.13,736.4,28.99,0.19,KOI-474,Lyr,1.08,1.14,0,2015,0.19191919
KOI-474.04,Kepler-164 b,Hot,rocky-iron,3.09,1.45,1.47,1269.7,5.04,0.06,KOI-474,Lyr,1.08,1.14,0,2015,0.06060606
KOI-475.01,Kepler-165 b,Hot,rocky-iron,24.97,2.46,4.13,795.7,8.18,0.07,KOI-475,Dra,0.73,0.76,0,2015,0.07070707
KOI-475.02,Kepler-165 c,Hot,rocky-iron,16.46,2.24,3.28,652.5,15.31,0.11,KOI-475,Dra,0.73,0.76,0,2015,0.11111111
KOI-481.01,Kepler-166 b,Hot,rocky-iron,21.88,2.39,3.83,829.0,7.65,0.07,KOI-481,Cyg,0.82,0.76,0,2015,0.07070707
KOI-481.03,Kepler-166 c,Hot,rocky-iron,26.43,2.49,4.26,523.5,34.26,0.19,KOI-481,Cyg,0.82,0.76,0,2015,0.19191919
KOI-490.01,Kepler-167 b,Hot,rocky-iron,5.63,1.71,1.93,940.6,4.39,0.05,KOI-490,Cyg,0.77,0.81,0,2015,0.05050505
KOI-490.03,Kepler-167 c,Hot,rocky-iron,6.27,1.76,2.03,797.4,7.41,0.07,KOI-490,Cyg,0.77,0.81,0,2015,0.07070707
KOI-497.02,Kepler-168 b,Hot,rocky-iron,3.83,1.54,1.62,1291.2,4.43,0.05,KOI-497,Cyg,1.09,1.12,0,2015,0.05050505
KOI-500.01,Kepler-80 b,Hot,rocky-iron,15.54,2.21,3.18,594.5,7.05,0.06,KOI-500,Cyg,0.59,0.57,0,2015,0.06060606
KOI-500.02,Kepler-80 c,Hot,rocky-iron,17.43,2.27,3.38,543.0,9.52,0.07,KOI-500,Cyg,0.59,0.57,0,2015,0.07070707
KOI-500.03,Kepler-80 d,Hot,rocky-iron,2.34,1.34,1.30,759.5,3.07,0.03,KOI-500,Cyg,0.59,0.57,0,2015,0.03030303
KOI-500.04,Kepler-80 e,Hot,rocky-iron,2.53,1.37,1.35,667.0,4.65,0.05,KOI-500,Cyg,0.59,0.57,0,2015,0.05050505
KOI-505.02,Kepler-169 c,Hot,rocky-iron,3.24,1.47,1.50,922.5,6.20,0.06,KOI-505,Lyr,0.85,0.94,0,2015,0.06060606
KOI-505.03,Kepler-169 b,Hot,rocky-iron,2.11,1.30,1.25,1132.6,3.25,0.04,KOI-505,Lyr,0.85,0.94,0,2015,0.04040404
KOI-505.04,Kepler-169 d,Hot,rocky-iron,8.59,1.91,2.35,844.3,8.35,0.08,KOI-505,Lyr,0.85,0.94,0,2015,0.08080808
KOI-509.01,Kepler-171 b,Hot,rocky-iron,24.05,2.44,4.04,1073.0,4.17,0.05,KOI-509,Cyg,0.91,0.83,0,2015,0.05050505
KOI-509.03,Kepler-171 d,Hot,rocky-iron,7.43,1.84,2.20,526.5,39.60,0.22,KOI-509,Cyg,0.91,0.83,0,2015,0.22222222
KOI-510.01,Kepler-172 b,Hot,rocky-iron,15.54,2.21,3.18,1299.8,2.94,0.04,KOI-510,Lyr,0.90,1.01,0,2015,0.04040404
